                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6156,                 2.8635,                 1.5716,                0.02621,                0.90576,                0.36485,                0.23602,                 1.0186,                 2.6286,                 1.1756,                0.00026,                0.00026,                0.00026
                      2,                 1.0803,                 2.4926,                 1.1747,                0.02697,                0.93194,                 0.5062,                0.33136,                0.96818,                 2.5882,                 1.1149,             0.00053332,             0.00053332,             0.00053332
                      3,                 1.0488,                 2.1663,                 1.1261,                0.02758,                0.95288,                0.57984,                 0.3798,                 1.0932,                 2.5588,                 1.1741,             0.00079971,             0.00079971,             0.00079971
                      4,                 1.0675,                 1.7674,                 1.1313,                0.02742,                0.94764,                0.55594,                 0.3596,                 1.1403,                 2.5907,                 1.2175,              0.0010592,              0.0010592,              0.0010592
                      5,                 1.0492,                 1.4107,                 1.1268,                0.04041,                0.70157,                0.54733,                0.38531,                 1.0758,                 2.4802,                 1.1932,              0.0013117,              0.0013117,              0.0013117
                      6,                 1.0586,                 1.2295,                 1.1449,                0.89367,                0.57205,                0.70957,                0.49874,                 1.0438,                 1.9804,                 1.1437,              0.0015573,              0.0015573,              0.0015573
                      7,                 1.0162,                  1.174,                 1.1414,                0.90417,                0.64218,                0.79515,                0.55837,                 1.0576,                  1.757,                 1.1486,               0.001796,               0.001796,               0.001796
                      8,                0.96137,                 1.0675,                  1.123,                0.84342,                0.71728,                0.82166,                0.62775,                0.93181,                 1.3461,                 1.0861,              0.0018267,              0.0018267,              0.0018267
                      9,                  0.935,                 1.0252,                 1.0988,                0.84508,                  0.714,                0.82385,                0.61586,                0.91785,                 1.1675,                 1.0485,               0.001802,               0.001802,               0.001802
                     10,                0.92949,                 1.0509,                 1.0947,                0.83254,                0.80628,                0.86789,                0.61552,                 1.0233,                 1.0246,                 1.1043,              0.0017772,              0.0017772,              0.0017772
                     11,                0.86857,                 0.9185,                   1.05,                0.82608,                0.82063,                 0.8717,                0.65411,                0.93332,                0.96864,                 1.0987,              0.0017525,              0.0017525,              0.0017525
                     12,                0.81952,                0.91759,                  1.035,                0.85876,                0.83246,                0.87592,                0.66561,                0.89457,                0.91888,                 1.0399,              0.0017278,              0.0017278,              0.0017278
                     13,                0.84797,                0.91886,                 1.0472,                0.86576,                0.81037,                 0.8928,                0.70092,                0.79692,                0.81798,                 1.0319,               0.001703,               0.001703,               0.001703
                     14,                0.81288,                 0.8684,                  1.023,                0.85496,                0.80245,                0.88248,                0.71072,                0.76845,                0.83792,                  1.011,              0.0016783,              0.0016783,              0.0016783
                     15,                0.80011,                0.83617,                 1.0086,                0.84904,                 0.7656,                0.87078,                0.69185,                 0.7774,                0.85801,                 1.0268,              0.0016535,              0.0016535,              0.0016535
                     16,                0.81094,                0.87928,                 1.0181,                0.86564,                0.87705,                0.91402,                0.73049,                0.81511,                0.81296,                 1.0326,              0.0016287,              0.0016287,              0.0016287
                     17,                0.80584,                0.83454,                 1.0217,                0.85385,                0.85647,                0.91066,                 0.7412,                0.76364,                0.78575,                0.99522,               0.001604,               0.001604,               0.001604
                     18,                0.78992,                0.80566,                 1.0034,                0.85712,                0.87942,                0.91332,                0.73037,                0.76651,                0.77788,                0.99465,              0.0015793,              0.0015793,              0.0015793
