                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                0.75839,                0.79736,                0.99603,                0.87227,                0.87958,                0.91159,                0.70557,                0.78625,                0.77687,                 1.0033,              0.0015545,              0.0015545,              0.0015545
                     20,                0.71533,                0.75336,                0.98498,                0.87628,                 0.8377,                0.90914,                0.73777,                0.74411,                0.77765,                0.98719,              0.0015298,              0.0015298,              0.0015298
                     21,                0.72178,                0.76155,                0.98775,                0.92043,                0.86911,                 0.9252,                0.74783,                0.72157,                 0.7156,                0.98731,               0.001505,               0.001505,               0.001505
                     22,                0.73552,                0.74997,                0.98628,                0.89031,                0.84994,                0.92083,                0.76389,                0.70333,                0.69827,                0.95777,              0.0014803,              0.0014803,              0.0014803
                     23,                0.70715,                 0.7623,                 0.9895,                0.90315,                 0.8377,                0.91695,                0.76103,                0.67998,                0.69919,                0.95038,              0.0014555,              0.0014555,              0.0014555
                     24,                0.73808,                0.76609,                0.99123,                 0.8526,                0.86387,                0.91283,                0.74833,                0.73051,                0.71366,                0.96327,              0.0014307,              0.0014307,              0.0014307
                     25,                0.71679,                0.72423,                0.97327,                0.87792,                 0.8534,                0.91232,                0.75308,                0.69585,                0.72456,                 0.9633,               0.001406,               0.001406,               0.001406
                     26,                0.71623,                0.75194,                  0.979,                0.87125,                0.88577,                0.91942,                0.75168,                0.69094,                0.68771,                0.95172,              0.0013813,              0.0013813,              0.0013813
                     27,                 0.6879,                0.76759,                0.98573,                0.92338,                 0.8534,                0.92136,                 0.7532,                0.70253,                0.67326,                0.95553,              0.0013565,              0.0013565,              0.0013565
                     28,                0.69773,                0.72096,                0.99143,                0.92621,                0.86387,                0.92153,                0.75231,                0.72163,                0.66578,                0.97278,              0.0013318,              0.0013318,              0.0013318
                     29,                0.69105,                0.70901,                0.98164,                0.85381,                0.91736,                0.91953,                0.75491,                0.69052,                0.66286,                0.95756,               0.001307,               0.001307,               0.001307
                     30,                0.69101,                0.72128,                0.97011,                0.91652,                0.86224,                0.91824,                0.75579,                0.69481,                0.67018,                0.94696,              0.0012822,              0.0012822,              0.0012822
                     31,                0.67421,                0.68959,                0.96336,                0.91031,                0.86387,                0.91746,                0.74573,                0.73132,                0.67335,                0.95874,              0.0012575,              0.0012575,              0.0012575
                     32,                0.66753,                0.69881,                0.96163,                 0.9127,                0.87958,                0.92577,                 0.7703,                0.65408,                0.64195,                0.94561,              0.0012328,              0.0012328,              0.0012328
                     33,                0.66108,                0.68395,                0.97205,                0.89554,                0.85282,                0.92235,                0.73938,                 0.7001,                0.66848,                0.95546,               0.001208,               0.001208,               0.001208
                     34,                0.67758,                0.66616,                0.96878,                0.88315,                0.87053,                0.92442,                 0.7576,                0.66965,                0.66441,                0.96138,              0.0011833,              0.0011833,              0.0011833
                     35,                0.66554,                0.69159,                0.97106,                0.88682,                0.90249,                 0.9324,                0.78059,                0.63867,                0.62803,                0.93799,              0.0011585,              0.0011585,              0.0011585
                     36,                 0.6534,                0.64201,                0.96334,                0.91149,                0.88482,                0.92964,                0.78024,                0.66171,                0.60889,                0.93758,              0.0011337,              0.0011337,              0.0011337
                     37,                0.65436,                0.69897,                 0.9632,                0.90193,                0.91099,                0.93279,                0.78749,                0.62238,                0.61079,                0.93092,               0.001109,               0.001109,               0.001109
                     38,                0.65422,                0.66408,                0.96671,                0.90812,                0.90052,                0.92569,                0.78134,                0.64346,                0.62871,                0.93515,              0.0010842,              0.0010842,              0.0010842
                     39,                0.67324,                0.67033,                0.96404,                0.89193,                0.89529,                0.92118,                0.78395,                0.60252,                0.62249,                0.92218,              0.0010595,              0.0010595,              0.0010595
                     40,                   0.62,                0.63937,                0.95122,                0.88445,                0.89005,                0.91549,                0.78426,                0.58653,                0.61812,                0.90904,              0.0010347,              0.0010347,              0.0010347
                     41,                 0.6219,                0.64203,                0.94848,                 0.8603,                0.93498,                0.92061,                0.79641,                 0.5865,                0.60361,                0.90938,                0.00101,                0.00101,                0.00101
                     42,                  0.638,                0.64502,                0.95992,                0.90364,                0.87435,                0.92571,                0.79822,                0.61552,                0.60735,                0.91766,             0.00098525,             0.00098525,             0.00098525
                     43,                0.60209,                 1.1807,                0.94356,                0.91894,                0.86387,                0.92594,                0.78568,                  0.647,                 0.6071,                0.92349,              0.0009605,              0.0009605,              0.0009605
                     44,                0.60761,                0.62602,                 0.9383,                0.86337,                0.92639,                0.92786,                0.79554,                0.61445,                0.60694,                0.92687,             0.00093575,             0.00093575,             0.00093575
                     45,                0.63039,                0.65968,                0.95266,                0.89584,                0.90052,                0.92616,                 0.7913,                0.60604,                 0.6286,                0.92483,               0.000911,               0.000911,               0.000911
                     46,                0.62885,                0.66218,                0.95222,                0.88468,                0.90052,                0.92109,                0.79307,                0.58293,                0.62525,                0.92183,             0.00088625,             0.00088625,             0.00088625
                     47,                0.59029,                0.62774,                0.93652,                0.89957,                0.89099,                0.92387,                 0.8003,                0.56879,                 0.5984,                 0.9121,              0.0008615,              0.0008615,              0.0008615
                     48,                 0.6047,                0.61388,                0.94664,                0.94894,                0.87581,                0.93034,                0.79931,                0.62789,                0.57037,                0.93937,             0.00083675,             0.00083675,             0.00083675
                     49,                0.59565,                0.59963,                0.93431,                0.93949,                0.89425,                0.92627,                0.81128,                0.56078,                0.55865,                0.92143,               0.000812,               0.000812,               0.000812
                     50,                0.61432,                0.66922,                0.95226,                0.93204,                 0.8617,                0.92455,                0.79655,                0.59701,                0.59418,                0.90652,             0.00078725,             0.00078725,             0.00078725
                     51,                0.63921,                0.63671,                0.94031,                0.91272,                0.87604,                0.92531,                0.79413,                0.60923,                0.59405,                0.91259,              0.0007625,              0.0007625,              0.0007625
                     52,                0.60192,                 0.6152,                0.92523,                0.92493,                0.90306,                 0.9284,                0.79699,                0.59208,                0.56803,                0.92359,             0.00073775,             0.00073775,             0.00073775
                     53,                0.59014,                0.65628,                0.93243,                 0.9091,                0.91099,                0.92984,                0.80905,                0.56826,                0.56694,                0.91192,               0.000713,               0.000713,               0.000713
                     54,                0.59678,                0.59504,                 0.9442,                0.87657,                0.93194,                0.93004,                0.80365,                0.57788,                0.56752,                0.91324,             0.00068825,             0.00068825,             0.00068825
                     55,                0.59473,                0.60487,                0.94569,                0.90219,                0.91757,                0.93117,                0.80743,                0.56248,                0.56294,                0.91175,              0.0006635,              0.0006635,              0.0006635
                     56,                0.59541,                0.59745,                0.93339,                0.89106,                0.89935,                0.92854,                0.80706,                0.54625,                0.56416,                0.89582,             0.00063875,             0.00063875,             0.00063875
                     57,                0.59427,                0.59149,                0.94779,                0.88552,                0.89098,                 0.9228,                0.79202,                 0.5787,                 0.5788,                0.89807,               0.000614,               0.000614,               0.000614
                     58,                0.61268,                0.63105,                0.94059,                0.85484,                0.92147,                0.91804,                0.78983,                0.56266,                0.57003,                0.90483,             0.00058925,             0.00058925,             0.00058925
                     59,                  0.568,                0.57621,                0.92522,                  0.862,                0.91567,                0.91916,                0.78901,                0.56365,                0.57068,                0.90788,              0.0005645,              0.0005645,              0.0005645
