                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62428,                 0.6345,                0.95849,                0.93248,                0.86763,                0.93499,                0.80219,                0.63036,                0.61325,                0.93367,               0.000614,               0.000614,               0.000614
                     37,                0.62607,                0.69965,                0.96243,                0.91831,                0.87958,                0.93862,                0.80015,                0.62107,                0.61078,                0.93253,              0.0005744,              0.0005744,              0.0005744
                     38,                0.62822,                0.65248,                0.96558,                0.92255,                0.87958,                0.93331,                 0.8055,                0.59347,                0.62146,                0.92005,              0.0005348,              0.0005348,              0.0005348
                     39,                0.62809,                0.65641,                0.95273,                0.85416,                0.91991,                  0.929,                0.79794,                0.60343,                0.63907,                0.92838,              0.0004952,              0.0004952,              0.0004952
                     40,                0.59876,                0.63291,                0.94759,                0.89358,                0.89005,                0.92541,                0.79471,                0.60734,                0.63778,                0.92284,              0.0004556,              0.0004556,              0.0004556
                     41,                0.61387,                0.91382,                0.95879,                0.88706,                0.90052,                0.92334,                0.79863,                0.58177,                0.64043,                0.91595,               0.000416,               0.000416,               0.000416
                     42,                0.61039,                0.83204,                0.92664,                0.89213,                0.87435,                0.91598,                  0.802,                0.58738,                0.69655,                0.91448,              0.0003764,              0.0003764,              0.0003764
                     43,                0.56956,                0.76742,                0.92483,                0.87656,                0.89232,                0.91499,                0.80353,                0.60159,                0.72042,                0.92262,              0.0003368,              0.0003368,              0.0003368
                     44,                0.56257,                0.74086,                0.93582,                0.90349,                 0.8534,                0.91616,                0.79462,                0.59802,                0.70978,                0.92393,              0.0002972,              0.0002972,              0.0002972
                     45,                0.54974,                 0.6998,                0.92535,                0.91229,                0.87132,                0.92375,                0.80498,                0.56785,                0.67321,                0.90889,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.5796,                0.71368,                0.95855,                0.91766,                0.87525,                0.92535,                0.81122,                0.55382,                0.64869,                0.90022,               0.000218,               0.000218,               0.000218
                     47,                0.54656,                0.66479,                0.91418,                0.91338,                0.88335,                0.92544,                  0.812,                0.55505,                0.64381,                0.89844,              0.0001784,              0.0001784,              0.0001784
                     48,                0.57737,                0.68264,                0.93855,                0.90669,                0.87435,                0.92363,                0.81004,                0.55906,                0.63783,                0.89656,              0.0001388,              0.0001388,              0.0001388
                     49,                0.58222,                0.70399,                0.93788,                0.92402,                0.87435,                0.92599,                0.80928,                0.55956,                0.63692,                 0.8966,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53036,                0.70007,                0.91199,                0.92671,                0.86065,                0.92691,                0.80781,                0.55723,                0.63091,                0.89463,               5.96e-05,               5.96e-05,               5.96e-05
